Data Quality Report 20260506
Generated: 2026-05-06 16:21:14
Rows: 148

Flag counts:
  SHARED_EXPORTER_LABEL: 79
  OK: 67
  UNMAPPED_ACCOUNT;UNMAPPED_BOT: 1
  UNMAPPED_ACCOUNT;MISSING_EXITREASON;UNMAPPED_BOT: 1

Non-OK rows:
  2026-05-06 | 2026-05-06 12:39:00 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:52:00 | SimV1A - Kalman Fader 2 | V1A | KalmanPulse Fader Mode A+ | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode A+ | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:33 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:36 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:36 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:47 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:35:47 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:36:08 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:36:08 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:36:09 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:36:09 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:30:05 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:30:05 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:45:09 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader_V1B | KalmanPulse_Fader_B | KalmanPulse_Fader_B | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 12:45:09 | SimV1A Kalman Fader 3 | V1B | KalmanPulse_Fader | Kalman Fade Mode B | NQ_ADX_C | Middle 3 | Kalman Fade Mode B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:05:44 | SimV3C-NQ-2A | V3C | NQ VC3-A Compression Fast | Compression Fast A | NQ_ADX_C | Top Middle | Compression Fast A | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:21:18 | SimV3C-NQ-2A | V3C | NQ VC3-A Compression Fast | Compression Fast A | NQ_ADX_C | Top Middle | Compression Fast A | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:25:03 | SimV3C-NQ-2A | V3C | NQ VC3-A Compression Fast | Compression Fast A | NQ_ADX_C | Top Middle | Compression Fast A | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:05:23 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:06:42 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:07:10 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:14:09 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:14:49 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:18:17 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:19:24 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:20:21 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:22:01 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:22:50 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:24:49 | SimV3C-NQ-2B | V3C | NQ V3C Compression Clean B | Compression Clean B | NQ_ADX_C | Top Middle | Compression Clean B | SHARED_EXPORTER_LABEL
  2026-05-06 | 2026-05-06 10:07:44 | SimV3C-NQ-2C | V3C | V3_Compression_Sniper_V3C | Compression Sniper C | NQ_ADX_C | Top Middle | Compression Sniper C | SHARED_EXPORTER_LABEL
