trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,entry_regime,entry_macro,entry_hmm,entry_phase,entry_confidence,entry_reason_code,broad_agree,v3c_regime_at_entry,trade_duration_min,r_multiple,risk_reward_actual,session_trade_rank,daily_pnl_running,export_timestamp,data_quality_flag
2026-05-05,2026-05-05 11:22:10,2026-05-05 11:25:04,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28132.0,28121.0,-220.0,-220.0,-44.0,LOSS,STOP_HIT,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,2.9,,,24,70.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:26:00,2026-05-05 11:26:21,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28122.5,28128.75,125.0,125.0,25.0,WIN,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.35,,,25,195.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:26:45,2026-05-05 11:28:10,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28132.75,28129.5,-65.0,-65.0,-13.0,LOSS,SESSION_CLOSE,,,ROTATION_LIQUID,ROTATION,TrendUp,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,1.42,,,26,130.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:57:38,2026-05-05 11:57:38,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28122.0,28122.0,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,28,30.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 11:59:53,2026-05-05 11:59:53,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28124.25,28124.25,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,Transition,MID_MORNING_DISCOVERY,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,29,30.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 13:03:35,2026-05-05 13:03:35,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28128.75,28128.75,0.0,0.0,0.0,SCRATCH,AI,,,TRANSITION,TREND,Balance,LUNCH_AUCTION,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,30,30.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 14:41:01,2026-05-05 14:41:01,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28174.25,28174.25,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,TrendUp,AFTERNOON_TREND_TEST,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,31,30.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 14:47:01,2026-05-05 14:47:01,V1A,APEX7678400000190,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,2,28174.0,28174.0,0.0,0.0,0.0,SCRATCH,AI,,,ROTATION_LIQUID,ROTATION,TrendUp,AFTERNOON_TREND_TEST,70,TWO_SIDED_CONFIRMED,0,TREND_COMPRESSION,0.0,,,32,30.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
2026-05-05,2026-05-05 10:35:13,2026-05-05 10:35:14,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,KalmanPulse_Fader_B,A+,NQ,NQ JUN26,SHORT,2,28128.25,28128.25,0.0,0.0,0.0,SCRATCH,ENVELOPE_BREAK_EXIT,28131.5,130.0,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.02,0.0,0.0,1,0.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:35:44,2026-05-05 10:35:44,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,KalmanPulse_Fader_B,A+,NQ,NQ JUN26,SHORT,2,28129.5,28130.75,-50.0,-50.0,-10.0,LOSS,ENVELOPE_BREAK_EXIT,28134.5,200.0,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,-0.25,-0.25,2,-50.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:36:03,2026-05-05 10:36:04,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,KalmanPulse_Fader_B,A+,NQ,NQ JUN26,SHORT,2,28129.63,28131.5,-75.0,-75.0,-15.0,LOSS,ENVELOPE_BREAK_EXIT,28134.0,175.0,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.02,-0.43,-0.43,3,-125.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:36:04,2026-05-05 10:36:04,V1A,SimV1A - Kalman Fader 2,KalmanPulse_Fader,15 Range Momentum V1A,A+,NQ,NQ JUN26,SHORT,1,28129.5,28131.5,-40.0,-40.0,-8.0,LOSS,EnvelopeBreakExit,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,4,-165.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:35:13,2026-05-05 10:35:14,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,28128.25,28128.25,0.0,0.0,0.0,SCRATCH,EnvelopeBreakExit,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.02,,,1,0.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:35:44,2026-05-05 10:35:44,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,28129.5,28130.5,-20.0,-20.0,-4.0,LOSS,EnvelopeBreakExit,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.0,,,2,-20.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 10:36:15,2026-05-05 10:36:17,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader_V2,Kalman Fader Mode A,A,NQ,NQ JUN26,SHORT,1,28130.25,28132.75,-50.0,-50.0,-10.0,LOSS,EnvelopeBreakExit,,,TRANSITION,TREND,Balance,POST_IB_MACRO,0,HIGH_CONFLICT,0,TREND_COMPRESSION,0.03,,,3,-70.0,2026-05-05 16:38:01,OK
2026-05-05,2026-05-05 15:38:59,2026-05-05 15:41:50,V1A,SimV3C-NQ-2D,UNKNOWN,15 Range Momentum V1A,N/A,NQ,NQ JUN26,LONG,1,28167.0,28156.75,-205.0,-205.0,-41.0,LOSS,STOP_HIT,,,TRANSITION,TREND,Balance,LATE_DAY_CONVICTION,0,HIGH_CONFLICT,0,TREND_COMPRESSION,2.85,,,1,-205.0,2026-05-05 16:38:01,UNMAPPED_ACCOUNT
