"Category","SourcePath","CopiedPath","Bytes","LastWriteTime","Lines","HeaderOrFirstLine","Note"
"07_Source_Code","MacroRegime\V3_Health_Checkbackup.py","07_Source_Code\MacroRegime\V3_Health_Checkbackup.py","4541","2026-04-23 16:33:30",,"","Older Python macro-regime pipeline."
"07_Source_Code","MacroSupervisor.py","07_Source_Code\MacroSupervisor.py","4253","2026-04-14 11:27:59",,"","Older pipeline or root source/reference."
"07_Source_Code","Scripts\archive\HMMWatchdog_V3D.py","07_Source_Code\Scripts\archive\HMMWatchdog_V3D.py","18955","2026-04-25 19:00:17",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\archive\HMMWatchdog_V3D_Modified.py","07_Source_Code\Scripts\archive\HMMWatchdog_V3D_Modified.py","19913","2026-04-27 08:12:36",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\eod_export.py","07_Source_Code\Scripts\eod_export.py","21700","2026-05-02 19:41:32",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\HMMWatchdog_V3D.py","07_Source_Code\Scripts\HMMWatchdog_V3D.py","19913","2026-04-27 08:11:31",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\MacroRegimeBuilder_V3D.py","07_Source_Code\Scripts\MacroRegimeBuilder_V3D.py","30371","2026-04-25 19:00:13",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\RegimeSupervisor_V3D.py","07_Source_Code\Scripts\RegimeSupervisor_V3D.py","26622","2026-04-27 07:27:04",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\trade_performance_report.py","07_Source_Code\Scripts\trade_performance_report.py","10047","2026-05-02 19:38:15",,"","Current shared scripts and archived script variants."
"07_Source_Code","Scripts\V3D_Regime_Analysis.py","07_Source_Code\Scripts\V3D_Regime_Analysis.py","14237","2026-04-27 08:56:42",,"","Current shared scripts and archived script variants."
"07_Source_Code","V1A\HMM Market Regimes [LuxAlgo].cs","07_Source_Code\V1A\HMM Market Regimes [LuxAlgo].cs","9649","2026-04-29 09:11:25",,"","V1A strategy/source files."
"07_Source_Code","V1A\Kalman_Regime.cs","07_Source_Code\V1A\Kalman_Regime.cs","8189","2026-04-29 14:33:22",,"","V1A strategy/source files."
"07_Source_Code","V1A\MomentumExpansion_5m.cs","07_Source_Code\V1A\MomentumExpansion_5m.cs","44998","2026-04-29 10:00:39",,"","V1A strategy/source files."
"07_Source_Code","V1A\MomentumHA_Scalp_1m.cs","07_Source_Code\V1A\MomentumHA_Scalp_1m.cs","47755","2026-04-29 10:00:44",,"","V1A strategy/source files."
"07_Source_Code","V1A\MomentumRange_RangeBar.cs","07_Source_Code\V1A\MomentumRange_RangeBar.cs","53303","2026-04-29 10:00:39",,"","V1A strategy/source files."
"07_Source_Code","V1A\NinjaTrader\TradeLogExporter_V1AB.cs","07_Source_Code\V1A\NinjaTrader\TradeLogExporter_V1AB.cs","11691","2026-04-30 18:14:29",,"","V1A strategy/source files."
"07_Source_Code","V1A\Regime Direction.cs","07_Source_Code\V1A\Regime Direction.cs","8749","2026-04-29 09:06:12",,"","V1A strategy/source files."
"07_Source_Code","V1A\Regime_Classifier_Oscillator.cs","07_Source_Code\V1A\Regime_Classifier_Oscillator.cs","12029","2026-04-29 14:39:33",,"","V1A strategy/source files."
"07_Source_Code","V1A\Regime_Classifier_Ossiclator.cs","07_Source_Code\V1A\Regime_Classifier_Ossiclator.cs","12029","2026-04-29 14:38:37",,"","V1A strategy/source files."
"07_Source_Code","V1A\Volatility Regimes.cs","07_Source_Code\V1A\Volatility Regimes.cs","26645","2026-04-29 09:04:44",,"","V1A strategy/source files."
"07_Source_Code","V1B\CompositeEdge_Momentum_V1B.cs","07_Source_Code\V1B\CompositeEdge_Momentum_V1B.cs","34364","2026-04-30 14:02:46",,"","V1B strategy/source files including footprint logic."
"07_Source_Code","V1B\HUDMessenger_V1B.cs","07_Source_Code\V1B\HUDMessenger_V1B.cs","2473","2026-04-30 10:05:32",,"","V1B strategy/source files including footprint logic."
"07_Source_Code","V1B\KalmanPulse_Fader_V1B.cs","07_Source_Code\V1B\KalmanPulse_Fader_V1B.cs","24496","2026-04-30 14:02:46",,"","V1B strategy/source files including footprint logic."
"07_Source_Code","V1B\NinjaTrader\TradeLogExporter_V1AB.cs","07_Source_Code\V1B\NinjaTrader\TradeLogExporter_V1AB.cs","11691","2026-04-30 18:14:29",,"","V1B strategy/source files including footprint logic."
