trade_date,entry_time,exit_time,model_version,account,strategy_name,bot_name,ab_mode,symbol,instrument,direction,contracts,entry_price,exit_price,gross_pnl,net_pnl,ticks,win_loss,exit_reason,initial_stop_price,initial_stop_distance,export_timestamp,source_path,entry_dt,family,design_lane,SnapshotTimestamp,FinalRegime,CandidateRegime,MacroRegime,MacroPlaybook,HMM_Micro,Phase,RegimeConfidence,ReasonCode,AllowCompressionBot,AllowFadeBot,AllowMomo,AllowLong,AllowShort,StaleDataFlag,AsymHysteresisGateOpen,AsymHysteresisReason,join_lag_min,retro_regime,lane_bucket,hypothesis_bucket
2026-05-01,2026-05-01 10:12:26,2026-05-01 10:12:30,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27877.0,27893.0,320.0,320.0,64.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:12:26,V3C Compression,TREND_COMPRESSION,2026-05-01 10:11:22,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,1.0666666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:16:36,2026-05-01 10:18:57,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27877.0,27861.5,-310.0,-310.0,-62.0,LOSS,Stop loss,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:16:36,V3C Compression,TREND_COMPRESSION,2026-05-01 10:16:25,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.18333333333333332,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:16:39,2026-05-01 10:18:00,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27880.0,27870.75,-185.0,-185.0,-37.0,LOSS,Stop loss,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:16:39,V3C Compression,TREND_COMPRESSION,2026-05-01 10:16:25,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,0.23333333333333334,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:19:26,2026-05-01 10:19:26,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27868.0,27877.25,185.0,185.0,37.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:19:26,V3C Compression,TREND_COMPRESSION,2026-05-01 10:16:25,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,3.0166666666666666,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:19:27,2026-05-01 10:20:14,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27867.0,27882.75,315.0,315.0,63.0,WIN,Profit target,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:19:27,V3C Compression,TREND_COMPRESSION,2026-05-01 10:16:25,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,68,DEVELOPING_INITIATIVE_PHASE_AWARE,True,False,True,True,False,False,,,3.033333333333333,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:25:40,2026-05-01 10:29:28,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27880.0,27870.5,-190.0,-190.0,-38.0,LOSS,Stop loss,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:25:40,V3C Compression,TREND_COMPRESSION,2026-05-01 10:21:30,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,PRE_IB_MATURATION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,4.166666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:32:03,2026-05-01 10:32:12,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27848.0,27838.5,-190.0,-190.0,-38.0,LOSS,Stop loss,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:32:03,V3C Compression,TREND_COMPRESSION,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,0.6,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:32:03,2026-05-01 10:32:49,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27847.0,27831.25,-315.0,-315.0,-63.0,LOSS,Stop loss,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:32:03,V3C Compression,TREND_COMPRESSION,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,0.6,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:33:31,2026-05-01 10:33:31,V3C,SimV3C-NQ-2B,NQ V3C Compression Clean B,NQ V3C Compression Clean B,,NQ,NQ JUN26,LONG,1,27836.0,27845.25,185.0,185.0,37.0,WIN,Profit target,,,2026-05-06 10:03:06,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2B_TradeLog.csv,2026-05-01 10:33:31,V3C Compression,TREND_COMPRESSION,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,2.066666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:33:49,2026-05-01 10:34:23,V3C,SimV3C-NQ-2A,NQ VC3-A Compression Fast ,NQ VC3-A Compression Fast ,,NQ,NQ JUN26,LONG,1,27837.0,27821.0,-320.0,-320.0,-64.0,LOSS,Stop loss,,,2026-05-06 10:03:09,C:\Users\Valued Customer\NT8_Regimes\V3C\TradeLog\SimV3C_NQ_2A_TradeLog.csv,2026-05-01 10:33:49,V3C Compression,TREND_COMPRESSION,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,2.3666666666666667,TREND_COMPRESSION,IN_LANE,IN_LANE
2026-05-01,2026-05-01 10:35:39,2026-05-01 10:35:57,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27815.25,27806.75,1560.0,1560.0,312.0,WIN,TARGET_HIT,27821.5,1500.0,2026-05-04 09:21:10,C:\Users\Valued Customer\NT8_Regimes\V1A\TradeLog\KalmanPulse_Fader_A_TradeLog.csv,2026-05-01 10:35:39,Kalman Faders,ROTATION_LIQUID,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,4.2,TREND_COMPRESSION,OUT_OF_LANE,OUT_OF_LANE
2026-05-01,2026-05-01 10:35:39,2026-05-01 10:35:57,V1B,SimV1A - Kalman Fader 2,KalmanPulse Fader Mode A+,KalmanPulse_Fader_B,B,NQ,NQ JUN26,SHORT,2,27815.25,27806.75,260.0,260.0,52.0,WIN,TARGET_HIT,27821.5,250.0,2026-05-04 09:21:11,C:\Users\Valued Customer\NT8_Regimes\V1B\TradeLog\KalmanPulse_Fader_B_TradeLog.csv,2026-05-01 10:35:39,Kalman Faders,ROTATION_LIQUID,2026-05-01 10:31:27,TREND_COMPRESSION,TREND_COMPRESSION,BRACKET_MACRO,ROTATION_ILLIQUID,TrendUp,NEAR_IB_CONDITION,66,MICRO_TREND_INSIDE_MACRO_STRUCTURE,True,False,True,True,False,False,,,4.2,TREND_COMPRESSION,OUT_OF_LANE,OUT_OF_LANE
2026-05-01,2026-05-01 10:38:11,2026-05-01 10:38:23,V1A,SimV1A- Kalman Fader 1,KalmanPulse_Fader,KalmanPulse_Fader_A,A,NQ,NQ JUN26,SHORT,12,27765.75,27768.5,-660.0,-660.0,-132.0,LOSS,ENVELOPE_BREAK_EXIT,27772.0,1500.0,2026-05-04 09:21:10,C:\Users\Valued Customer\NT8_Regimes\V1A\TradeLog\KalmanPulse_Fader_A_TradeLog.csv,2026-05-01 10:38:11,Kalman Faders,ROTATION_LIQUID,2026-05-01 10:37:38,TRANSITION,ROTATION_ILLIQUID,BRACKET_MACRO,ROTATION_ILLIQUID,TrendDown,POST_IB_MACRO,62,COMPRESSED_BALANCE_LOW_EDGE,False,False,False,False,False,False,,,0.55,TRANSITION,OUT_OF_LANE,OUT_OF_LANE
